49,"Action, Comedy            ","https://m.media-amazon.com/images/M/MV5BOGE1ZjFhYzAtYWM4ZC00NGI1LWFmYzMtZWRhZDhjMjE4YzBjXkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_UY209_CR0,0,140,209_AL_.jpg",Stuber,Release date - July 12th 2019
50,"Animation, Adventure, Drama            ","https://m.media-amazon.com/images/M/MV5BMjIwMjE1Nzc4NV5BMl5BanBnXkFtZTgwNDg4OTA1NzM@._V1_UY209_CR0,0,140,209_AL_.jpg",The Lion King,Release date - July 19th
51,"Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Once Upon a Time ... in Hollywood,Release date - July 26th
52,"Action, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BMTc4NzA5MTgwMl5BMl5BanBnXkFtZTgwNjA2MjIzNzM@._V1_UX140_CR0,0,140,209_AL_.jpg",Fast & Furious Presents: Hobbs & Shaw,Release date - August 2nd
53,Horror            ,"https://m.media-amazon.com/images/M/MV5BMjA0MDY2NzAwMF5BMl5BanBnXkFtZTgwMzMxOTQ3NzM@._V1_UY209_CR0,0,140,209_AL_.jpg",Scary Stories to Tell in the Dark,Release date - August 9th
54,"Adventure, Family            ","https://m.media-amazon.com/images/M/MV5BMTczNTIyNTQ5Ml5BMl5BanBnXkFtZTgwOTI2ODk2NzM@._V1_UX140_CR0,0,140,209_AL_.jpg",Dora and the Lost City of Gold,Release date - August 9th
55,"Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BZGEwMWJlNzMtMjQ4YS00YjI4LTkwZTYtMGFiZTY5YmE2ZTIwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",The Kitchen,Release date - August 9th
56,"Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BZjU5ZTYzM2MtNDNhYi00YjU1LWE4MzEtODc0NmNlODZlMjlhXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UY209_CR0,0,140,209_AL_.jpg",The Art of Racing in the Rain,Release date - August 9th
57,"Drama, History, War            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,The Nightingale,Release date - August 10th
58,"Animation, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BYzdkNGJhNzQtMjY1OC00MDI3LTk0ZDUtNzU0MGZiY2YwZGUxXkEyXkFqcGdeQXVyNzMxNjQxMTk@._V1_UY209_CR0,0,140,209_AL_.jpg",The Angry Birds Movie 2,Release date - August 14th
59,"Comedy, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BNDZiY2MyN2ItZjYyMi00YWNiLTk3NTQtNzk3YWFlOTg1MzViXkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_UY209_CR0,0,140,209_AL_.jpg","Where'd You Go, Bernadette",Release date - August 16th
60,"Horror, Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BYzBkMzAyMDUtZTFkZS00OWUyLTgwM2ItNGI3MTQ5NzA3NTVkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Ready or Not,Release date - August 23rd
61,"Animation, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BZjk2Njk4MGQtYjQ1OS00NDhmLWE0NDMtZTQ0MjVhZGY4Mjc2XkEyXkFqcGdeQXVyNTE2NjA1NTg@._V1_UY209_CR0,0,140,209_AL_.jpg",Playmobil: The Movie,Release date - August 30th
62,"Horror, Thriller            ","https://m.media-amazon.com/images/M/MV5BNDlhMWY0NzYtMGQ4Yi00ZWFhLTkwZTctMGVjZDA0MTA5N2I5XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY209_CR0,0,140,209_AL_.jpg",It Chapter Two,Release date - September 6th
63,"Adventure, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BYjNlOGU4OWQtYmRjMS00NTc3LTk4OWYtYjMwMDQ2MGJkMjVlXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Ad Astra,Release date - September 20th
64,"Action, Adventure, Thriller            ","https://m.media-amazon.com/images/M/MV5BMTZjNTY2MzQtZDNlMi00ODg1LTkzMGQtNTZjZWQ1MzY4NjA0XkEyXkFqcGdeQXVyNDMzMzI5MjM@._V1_UX140_CR0,0,140,209_AL_.jpg",Rambo: Last Blood,Release date - September 20th
65,Drama            ,"https://m.media-amazon.com/images/M/MV5BYWYwMGU2MjAtZTA0OC00ZDdhLWI1YWQtMjhmN2IxYmIxMGM0XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Downton Abbey,Release date - September 20th
66,"Animation, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BZjg0MWExYjQtNGQ5OS00M2ZkLTg0NjItZjllOWI1YTRjZmE5XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Abominable,Release date - September 27th
67,"Action, Horror, Thriller            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,The Hunt,Release date - September 27th 2019
68,"Action, Horror, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BZTg1ZTcwOTYtOWFmOS00YWI0LThiNWUtZjMxNjJkYmY0ZTQ3XkEyXkFqcGdeQXVyNTMyODE0Ng@@._V1_UY209_CR152,0,140,209_AL_.jpg",Doom: Annihilation,Release date - October 1st
69,"Crime, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BMTcyNjU1MjQ3MF5BMl5BanBnXkFtZTgwNTk1MDA4NzM@._V1_UY209_CR0,0,140,209_AL_.jpg",Joker,Release date - October 4th
70,"Action, Drama, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BNjI5OTNkMzUtZDYzYy00NWQ5LTg4YzYtZmZjZDI0MGQzNGY2XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Gemini Man,Release date - October 4th
71,"Crime, Drama, Mystery            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,The Woman in the Window,Release date - October 4th
72,"Action, Comedy, Horror            ","https://m.media-amazon.com/images/M/MV5BNDBkOTY5NzEtZmIxOC00YThlLWIyYTYtNWVlNjlhNTY3MzRiXkEyXkFqcGdeQXVyMDk2OTIwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Zombieland: Double Tap,Release date - October 11th
73,"Animation, Comedy, Family            ","https://m.media-amazon.com/images/M/MV5BMTg5MDg3MjM0Nl5BMl5BanBnXkFtZTgwNDQ4ODU3NzM@._V1_UY209_CR13,0,140,209_AL_.jpg",The Addams Family,Release date - October 11th
74,Drama            ,"https://m.media-amazon.com/images/M/MV5BMzYxM2JjYjgtMTM4MC00YjA0LWFiYmYtMTBjM2Q1ZjQ0YmY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",The Goldfinch,Release date - October 11th
75,"Adventure, Family, Fantasy            ","https://m.media-amazon.com/images/M/MV5BODEyMDkxNzE4NF5BMl5BanBnXkFtZTgwNzc3MDg1NzM@._V1_UY209_CR0,0,140,209_AL_.jpg",Maleficent: Mistress of Evil,Release date - October 18th 2019
76,"Comedy, Drama, War            ","https://m.media-amazon.com/images/M/MV5BZmZhNjBiOTMtZjQ0ZC00ZGI0LTg4YjEtM2RmYzM5ZDEwYmJlXkEyXkFqcGdeQXVyOTM4NzkyMjM@._V1_UY209_CR35,0,140,209_AL_.jpg",Jojo Rabbit,Release date - October 18th 2019
77,"Drama, Sport            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,Torrance,Release date - October 18th 2019
78,"Action, Adventure, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BMTUwNWI2ZDQtODRjNy00OGE1LThlNGEtYzU2NDU5ZGMzN2RmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX140_CR0,0,140,209_AL_.jpg",Terminator: Dark Fate,Release date - November 1st
79,"Crime, Drama            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,Motherless Brooklyn,Release date - November 1st
80,Horror            ,"https://m.media-amazon.com/images/M/MV5BMzQ5MjA0ZTAtYzhkYy00NTlmLWE4YTgtMTA2ZTE5NjRjNDA2XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Doctor Sleep,Release date - November 8th
81,"Action, Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BYzcyZDNlNDktOWRhYy00ODQ5LTg1ODQtZmFmZTIyMjg2Yjk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Ford v Ferrari,Release date - November 15th
82,"Action, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BMDI2ODc5OWQtYWY1ZC00MDFiLTlhZmItYTQ2MmMwMmQyNWNmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg",Charlie's Angels,Release date - November 15th
83,Drama            ,"https://m.media-amazon.com/images/M/MV5BN2VhNTY5ZTUtYzc1NC00NjUyLWI1NDQtYWE3YmJlNjQ3OGVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",The Good Liar,Release date - November 15th
84,"Comedy, Romance            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,Last Christmas,Release date - November 15th
85,"Animation, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BODk3MmYwZWEtYWNjZS00MGRkLTgzMzgtZDBmMzkxMGI0N2RmXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Frozen II,Release date - November 22nd
86,"Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BMjAwMzAxOTM5OF5BMl5BanBnXkFtZTgwNzAxODI0NjM@._V1_UY209_CR87,0,140,209_AL_.jpg",A Beautiful Day in the Neighborhood,Release date - November 22nd
87,"Action, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BMTZiYWYxNzYtZDMwMC00YTc2LTg1Y2QtY2Y2MDVhZmUzN2U3XkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_UY209_CR8,0,140,209_AL_.jpg",The Rhythm Section,Release date - November 22nd
88,"Crime, Drama, Mystery            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,Knives Out,Release date - November 27th 
89,Drama            ,"https://m.media-amazon.com/images/M/MV5BNWRiY2ZhOGEtYjQ4NC00MWIxLTg3MzYtYmVmZjExZTlhZDY3XkEyXkFqcGdeQXVyNjYxMzg1MjY@._V1_UY209_CR86,0,140,209_AL_.jpg",Queen & Slim,Release date - November 27th 
90,"Action, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BNTMyNzQ5MGUtMGNlMi00ODBiLWJiYzQtOWQ2ZThjNDJiZmVjXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Untitled Jumanji: Welcome to the Jungle Sequel,Release date - December 13th 
91,"Horror, Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BMDgyMDhhODEtMWJjOS00NmFjLWFhM2UtZmU1NjQxZWNhY2M3XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Black Christmas,Release date - December 13th
92,"Action, Adventure, Fantasy            ","https://m.media-amazon.com/images/M/MV5BNDA5YWU1MDItOWZlOS00YTljLThhYTYtMzM4MGI2NjhlMDYwXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Star Wars: The Rise of Skywalker,Release date - December 20th
93,"Animation, Comedy, Drama            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,Cats,Release date - December 20th
94,"Animation, Action, Adventure            ","https://m.media-amazon.com/images/M/MV5BMjA1MDQ4NTg1OF5BMl5BanBnXkFtZTgwODU3NDY2NjM@._V1_UY209_CR0,0,140,209_AL_.jpg",Spies in Disguise,Release date - December 25th 
95,"Action, Comedy            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,Superintelligence,Release date - December 25th
96,"Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BNWI2NDQ2ZDAtNjZmZS00YWRjLWI5ZjEtMjhlMjM2NDczYTU2XkEyXkFqcGdeQXVyMzYwMDUwMTQ@._V1_UY209_CR77,0,140,209_AL_.jpg",Little Women,Release date - December 25th
97,"Drama, War            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,1917,Release date - December 25th 2019
98,"Drama, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BMGRhZjEwMDYtYzFmMS00YmQzLWFmMzEtMDlkNTczNGEzNGRkXkEyXkFqcGdeQXVyODIzNjUxMjU@._V1_UX140_CR0,0,140,209_AL_.jpg",Lucy in the Sky,Release date - TBA 2019
99,Romance            ,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,The Rosie Project,Release date - TBA 2019
100,"Drama, Fantasy            ",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,Wendy,Release date - TBA 2019
101,"Action, Fantasy, Horror            ","https://m.media-amazon.com/images/M/MV5BZTgyZTdhMzItOTFjYi00ZGUyLWI3MTItNmIzMmVkYTNmYzFjXkEyXkFqcGdeQXVyODYwNzE0ODk@._V1_UY209_CR116,0,140,209_AL_.jpg",Spawn,Release date - TBA 2019
102,Horror            ,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB470041848_.png,Eli,Release date - TBA 2019 
